hosts,n,time
1,10,1.013
1,50,0.000554199
1,100,0.00386267
1,250,0.032736
1,500,0.102827
1,750,0.280458
1,1000,0.6197
1,2000,5.17568
1,3000,17.1141
1,4000,40.1067
1,5000,77.0875
2,10,4.387476964
2,50,0.00077313
2,100,0.00248079
2,250,0.01781135
2,500,0.06389165
2,750,0.1897255
2,1000,0.3826195
2,2000,2.5409699999999997
2,3000,8.760504999999998
2,4000,20.34765
2,5000,39.1783
3,10,0.00474634
3,50,0.004719076666666666
3,100,0.0057962000000000005
3,250,0.0156273
3,500,0.0670198
3,750,0.12834766666666667
3,1000,0.3471666666666667
3,2000,2.4499833333333334
3,3000,5.992376666666666
3,4000,16.3374
3,5000,36.499533333333325
4,10,0.0100493775
4,50,0.010105339999999999
4,100,0.010483685
4,250,0.0164915075
4,500,0.040217825
4,750,0.1435745
4,1000,0.245817
4,2000,1.45597
4,3000,4.6174675
4,4000,10.778500000000001
4,5000,20.667
5,10,0.014806216
5,50,0.014874035999999998
5,100,0.0152967
5,250,0.019705592
5,500,0.03802231999999999
5,750,0.11318796
5,1000,0.21403279999999997
5,2000,1.2417919999999998
5,3000,3.832376
5,4000,8.713024
5,5000,17.23514
