instance,seed,type,result
d198,75170,WORKER,17453
d198,70164,WORKER,17410
d198,44588,WORKER,17009
d198,83624,WORKER,17279
d198,14804,WORKER,17456
d198,75170,QUEEN,17378
d198,70164,QUEEN,17451
d198,44588,QUEEN,17259
d198,83624,QUEEN,17358
d198,14804,QUEEN,17467
a280,75170,WORKER,3164
a280,70164,WORKER,3106
a280,44588,WORKER,3087
a280,83624,WORKER,3180
a280,14804,WORKER,3094
a280,75170,QUEEN,3149
a280,70164,QUEEN,3107
a280,44588,QUEEN,3127
a280,83624,QUEEN,3095
a280,14804,QUEEN,3076
lin318,75170,WORKER,48468
lin318,70164,WORKER,48912
lin318,44588,WORKER,47261
lin318,83624,WORKER,47860
lin318,14804,WORKER,48912
lin318,75170,QUEEN,48230
lin318,70164,QUEEN,48209
lin318,44588,QUEEN,48971
lin318,83624,QUEEN,48807
lin318,14804,QUEEN,48504
pcb442,75170,WORKER,60924
pcb442,70164,WORKER,62211
pcb442,44588,WORKER,61167
pcb442,83624,WORKER,61138
pcb442,14804,WORKER,62738
pcb442,75170,QUEEN,62358
pcb442,70164,QUEEN,62104
pcb442,44588,QUEEN,61923
pcb442,83624,QUEEN,62681
pcb442,14804,QUEEN,61675
rat783,75170,WORKER,11107
rat783,70164,WORKER,11011
rat783,44588,WORKER,11062
rat783,83624,WORKER,11028
rat783,14804,WORKER,11075
rat783,75170,QUEEN,11049
rat783,70164,QUEEN,11123
rat783,44588,QUEEN,11062
rat783,83624,QUEEN,11023
rat783,14804,QUEEN,11193
pr1002,75170,WORKER,332781
pr1002,70164,WORKER,331288
pr1002,44588,WORKER,331302
pr1002,83624,WORKER,334064
pr1002,14804,WORKER,335230
pr1002,75170,QUEEN,335010
pr1002,70164,QUEEN,336337
pr1002,44588,QUEEN,335451
pr1002,83624,QUEEN,330363
pr1002,14804,QUEEN,335214
